market,yahoo,bb,name,sector,mcap_usd,pe_fwd,pbr
일본,8306.T,8306 JP Equity,"Mitsubishi UFJ Financial Group, Inc.",Finance,255587781871.7136,14.498677354392969,1.813828890294675
일본,7203.T,7203 JP Equity,Toyota Motor Corp.,Consumer Durables,230564965758.05948,11.016308049601797,0.9890193743087001
일본,9984.T,9984 JP Equity,SoftBank Group Corp.,Miscellaneous,184091229669.7747,,1.6135827992161145
일본,285A.T,285A JP Equity,Kioxia Holdings Corporation,Electronic Technology,164137713917.95532,3.711616490375991,10.91780677098489
일본,8316.T,8316 JP Equity,"Sumitomo Mitsui Financial Group, Inc.",Finance,163471084226.25534,14.301129662642508,1.6283405659147354
일본,8035.T,8035 JP Equity,Tokyo Electron Ltd.,Producer Manufacturing,159710012841.03873,29.70295176154848,11.93010632111602
일본,6501.T,6501 JP Equity,"Hitachi, Ltd.",Producer Manufacturing,156824851276.42993,23.965552717693463,3.7747202090664493
일본,6857.T,6857 JP Equity,Advantest Corp.,Electronic Technology,153734135845.3505,39.11715363591265,24.48999566665254
일본,6098.T,6098 JP Equity,"Recruit Holdings Co., Ltd.",Technology Services,150995783052.46072,34.287255175875465,13.963423565054857
일본,6758.T,6758 JP Equity,Sony Group Corporation,Electronic Technology,145437315865.66077,19.698386707644993,2.7561616878397373
일본,9983.T,9983 JP Equity,"FAST RETAILING CO., LTD.",Retail Trade,139951467076.015,,8.014175116660821
일본,8411.T,8411 JP Equity,"Mizuho Financial Group, Inc.",Finance,129300824986.43721,13.84726426073262,1.7938291718427215
일본,6861.T,6861 JP Equity,Keyence Corporation,Electronic Technology,125720035643.69379,36.18658023577003,5.66958443077169
일본,8001.T,8001 JP Equity,Itochu Corporation,Distribution Services,102871168547.66194,15.265975267893884,2.185967556957081
일본,8058.T,8058 JP Equity,Mitsubishi Corporation,Distribution Services,99976769908.42172,14.978249350540635,1.81933096244022
일본,8766.T,8766 JP Equity,"Tokio Marine Holdings, Inc.",Finance,91491765455.62746,15.854829790251175,1.7831037469629436
일본,9432.T,9432 JP Equity,NTT Inc,Communications,89795390544.47797,,1.3925819981767582
일본,8031.T,8031 JP Equity,"Mitsui & Co.,Ltd",Process Industries,87502756825.96938,14.495826028939293,1.5716519170864252
