시장,티커,섹터,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,2.9,-1.5,-5.5,17.1,25.9,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1
미국,XLV US,헬스케어,0.6,1.2,7.7,9.2,4.4,8,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5
미국,XLF US,금융,0.1,-0.1,5.1,7.0,3.3,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9
미국,XLY US,경기소비재,0.2,-0.9,-1.8,-4.0,-3.4,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2
미국,XLC US,커뮤니케이션,-0.7,-1.3,0.8,-7.1,-6.0,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3
미국,XLI US,산업재,0.3,-1.0,-1.0,3.0,15.8,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6
미국,XLP US,필수소비재,-0.9,0.8,1.6,2.7,9.6,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7
미국,XLE US,에너지,1.0,2.7,9.6,7.0,32.6,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11
미국,XLU US,유틸리티,-0.0,-1.7,1.0,-1.2,6.6,7,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8
미국,XLB US,소재,0.1,-1.1,-2.9,-3.7,11.4,5,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4
미국,XLRE US,리츠,-0.1,1.6,4.0,2.1,13.8,4,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10
일본,1617 JP,식품,0.5,1.2,4.2,6.8,16.7,7,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9
일본,1618 JP,에너지자원,4.6,4.1,2.9,-9.8,14.4,8,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17
일본,1619 JP,건설·자재,0.5,-2.7,-6.0,-0.3,9.9,10,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11
일본,1620 JP,소재·화학,0.5,1.0,-0.4,6.8,24.4,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5
일본,1621 JP,의약품,0.2,2.0,6.5,-6.6,2.3,15,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6
일본,1622 JP,자동차·운송기기,2.1,4.8,6.9,-3.7,-4.1,17,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8
일본,1623 JP,철강·비철,3.6,-2.9,-21.9,-16.5,37.0,2,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12
일본,1624 JP,기계,5.1,-1.1,-4.8,-3.5,19.5,6,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3
일본,1625 JP,전기·정밀,1.8,-3.7,-10.1,12.5,30.3,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1
일본,1626 JP,정보통신·서비스,1.6,-0.3,3.7,11.4,6.2,11,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2
일본,1627 JP,전력·가스,3.6,3.8,2.5,-8.5,2.4,14,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13
일본,1628 JP,운수·물류,0.4,3.2,8.5,0.4,3.4,13,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16
일본,1629 JP,상사·도매,2.2,4.2,3.1,-7.5,13.3,9,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7
일본,1630 JP,소매,0.1,0.9,4.7,2.0,4.4,12,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4
일본,1631 JP,은행,3.6,0.1,6.8,19.5,45.0,1,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15
일본,1632 JP,금융(은행외),4.6,3.6,7.0,14.5,29.7,4,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10
일본,1633 JP,부동산,1.4,2.4,5.8,-9.1,0.2,16,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14
홍콩,2800 HK,항셍지수,,,,,,,,,,,,,,,,,,
홍콩,2828 HK,H주(중국기업),,,,,,,,,,,,,,,,,,
홍콩,3033 HK,항셍테크,,,,,,,,,,,,,,,,,,
중국A,512480 CH,반도체,,,,,,,,,,,,,,,,,,
중국A,515000 CH,테크(科技),,,,,,,,,,,,,,,,,,
중국A,515050 CH,5G통신,,,,,,,,,,,,,,,,,,
중국A,515030 CH,신에너지차,,,,,,,,,,,,,,,,,,
중국A,512660 CH,방산(军工),,,,,,,,,,,,,,,,,,
중국A,515790 CH,태양광,,,,,,,,,,,,,,,,,,
중국A,512690 CH,백주(주류),,,,,,,,,,,,,,,,,,
중국A,512800 CH,은행,,,,,,,,,,,,,,,,,,
중국A,512400 CH,유색금속,,,,,,,,,,,,,,,,,,
중국A,512200 CH,부동산,,,,,,,,,,,,,,,,,,
중국A,512880 CH,증권,0.4,1.7,-0.7,4.4,-7.3,1,3.5,1,29.7,1,3.8,1,-26.1,1,-3.8,1,17.5,1
중국A,512010 CH,의약,,,,,,,,,,,,,,,,,,
중국A,159928 CH,소비(消费),,,,,,,,,,,,,,,,,,
