시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"메가캡 실적 서프라이즈로 +5.5% 급등, 다만 전자기술 순강도 -2로 breadth는 대형주 편중",5.5,-1.5,-7.8,10.6,22.4,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"CORT +27%·REGN·ILMN 개별 실적주 강세, ALNY -28% 미스 혼재로 ETF는 -1.6%",-1.6,1.3,3.1,15.0,6.5,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"+0.6%, 순강도 +10 전 섹터 최강·12MF PER 15.3배로 가치·방어 선호 지속",0.6,2.1,6.3,10.2,5.0,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,"+0.7%, 치폴레 +12.5% 등 외식·서비스 실적 개선이 견인",0.7,3.3,-4.2,-3.6,-5.5,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"-2.7%로 당일 최약, 메타 -8%(AI지출로 잉여현금 -91%)가 직접 타격",-2.7,1.1,-0.5,-7.3,-8.9,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"+1.0%이나 Producer Manufacturing 순강도 -7로 breadth 취약, L3해리스 -8.6% 신저가",1.0,-2.0,-3.7,5.2,15.6,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"-2.2%, 알트리아 -9.3% 실적 실망이 필수소비재 전반 압박",-2.2,2.7,2.9,3.8,11.4,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"+0.5%, 1개월 +11.0%로 상대강세 지속",0.5,-0.7,11.0,0.6,33.7,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"-0.6%, 1주 -3.3%로 금리 민감 방어주 소외",-0.6,-3.3,-1.5,-1.6,6.0,8,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,"-0.2% 보합권, 방향성 부재",-0.2,2.7,1.6,1.7,14.8,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,-1.4%이나 JLL +6.4% 실적 서프라이즈로 52주 신고가 개별 차별화,-1.4,0.8,2.9,4.7,14.0,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,-1.6,3.5,2.9,12.1,19.4,5,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,-0.4,-1.3,10.7,-1.7,16.0,7,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,-1.3,-4.2,-8.7,-2.5,6.4,13,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,-0.8,-5.9,-5.4,2.6,17.4,6,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,-1.7,3.5,5.4,4.0,5.1,14,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,-2.2,5.6,13.3,8.6,1.2,16,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,0.2,-11.8,-22.3,-21.8,25.9,3,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,0.0,-5.0,-9.2,-9.6,14.5,9,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,2.5,-6.7,-14.3,3.3,23.5,4,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,-1.2,1.8,5.7,11.0,6.9,12,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
일본,1627 JP,전력·가스,,-1.5,0.3,2.3,-0.9,2.7,15,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13.0
일본,1628 JP,운수·물류,,-2.0,4.2,10.6,9.4,7.2,11,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16.0
일본,1629 JP,상사·도매,,-0.4,-0.4,8.2,-0.9,16.0,7,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7.0
일본,1630 JP,소매,,0.0,4.7,6.6,9.7,7.4,10,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4.0
일본,1631 JP,은행,,-3.4,-7.1,5.9,22.9,40.7,1,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15.0
일본,1632 JP,금융(은행외),,-2.2,1.1,9.4,20.3,31.6,2,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10.0
일본,1633 JP,부동산,,-1.4,2.8,3.6,-4.5,0.9,17,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14.0
홍콩,2800 HK,항셍지수,"+0.3%(1M +13.2), 항셍 대형주 은행 주도로 견조",0.3,2.6,13.2,1.5,2.1,1,27.4,1,17.9,3,-13.7,2,-15.3,1,-14.2,1,-3.7,1.0
홍콩,2828 HK,H주(중국기업),"+1.4%(1M +16.3)로 홍콩 3종 중 최강, H주 은행 신고가 수혜",1.4,4.8,16.3,1.7,-1.4,2,22.9,2,27.1,1,-14.1,3,-18.6,2,-23.2,2,-4.1,2.0
홍콩,3033 HK,항셍테크,"-1.0%(YTD26 -12.5), 항셍테크는 반도체 조정에 동반 약세",-1.0,2.3,7.5,-0.2,-12.5,3,22.7,3,18.9,2,-9.3,1,-27.4,3,-32.9,3,,
중국A,512480 CH,반도체,"-6.7%(1주 -13.4·1M -34.9) 급락, 다만 YTD26 +30.9%로 섹터 1위 — 급등 후 되돌림 성격",-6.7,-13.4,-34.9,10.4,30.9,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.6,5.0
중국A,515000 CH,테크(科技),"-5.1%(1M -29.9), 광모듈·반도체 조정이 기술주 전반으로 확산",-5.1,-12.2,-29.9,1.6,17.6,2,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,46.1,6.0
