구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,LII US Equity,"Lennox International, Inc.",Producer Manufacturing,430.02,-20.97,15.0,19.4,12.3,O,O,레녹스인터내셔널(주거용 HVAC): 2Q매출 소폭 미달·FY EPS가이던스 $23.50으로 하향(컨센 -4.7%),미국
신저가,NEW,IREN US Equity,IREN Limited,Technology Services,29.31,-13.62,10.5,57.9,3.8,O,,아이렌(비트코인채굴·AI데이터센터): AI랠리 차익실현+섹터 광범위 매도·창업자 보상 희석 우려,미국
신저가,NEW,WSO US Equity,"Watsco, Inc.",Producer Manufacturing,320.02,-12.92,13.0,26.6,4.2,O,O,왓스코(HVAC유통): 2Q EPS $4.00 컨센 $4.39 미달·매출총이익률 27.5%로 전년比 축소,미국
신저가,NEW,WSO/B US Equity,"Watsco, Inc.",Producer Manufacturing,317.63,-12.61,13.0,26.4,4.2,O,O,"왓스코 B주(HVAC유통): 2Q EPS $4.00 컨센 미달·마진 축소, 보통주와 동반 급락",미국
신저가,NEW,EVR US Equity,Evercore Inc.,Finance,304.71,-10.51,11.8,17.2,6.6,O,,에버코어(독립자문 투자은행): 2Q EPS 소폭 상회했으나 1Q 역대최고 대비 실망·'뉴스에 팔자',미국
신저가,NEW,MKSI US Equity,MKS Inc.,Producer Manufacturing,257.61,-9.71,17.4,53.8,6.2,O,,,미국
신저가,NEW,SOFI US Equity,"SoFi Technologies, Inc.",Finance,15.25,-8.9,19.6,34.6,1.8,O,O,,미국
신저가,NEW,STRL US Equity,"Sterling Infrastructure, Inc.",Industrial Services,494.24,-8.15,15.2,44.2,12.7,O,,,미국
신저가,NEW,SNDK US Equity,Sandisk Corporation,Electronic Technology,1015.89,-7.32,150.4,35.3,10.9,O,,,미국
신저가,NEW,NXPI US Equity,NXP Semiconductors N.V.,Electronic Technology,240.98,-7.0,60.8,23.1,5.6,O,,,미국
신저가,NEW,CW US Equity,Curtiss-Wright Corporation,Electronic Technology,679.41,-6.78,25.1,49.8,9.5,O,,,미국
신저가,NEW,ENLT US Equity,Enlight Renewable Energy Ltd.,Utilities,81.02,-6.69,11.3,178.7,5.3,O,,,미국
