구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,AMRZ US Equity,Amrize Ltd,Non-Energy Minerals,46.64,-8.94,25.8,16.1,21.4,,O,O,"암라이즈(시멘트·콘크리트 건자재): 2분기 EPS 원가인플레로 부진, EBITDA 가이던스 하향",미국
신저가,NEW,EMA US Equity,Emera Incorporated,Utilities,50.82,-1.49,15.5,19.5,22.8,1.7,O,,에메라(캐나다·미국 전력·가스 유틸리티): 2분기 조정EPS 컨센 미달로 실망 매도,미국
신저가,NEW,WEC US Equity,"WEC Energy Group, Inc.",Utilities,107.63,-0.31,35.1,19.9,20.8,2.5,O,,"WEC에너지(위스콘신 전력·가스): 특별한 뉴스 없음, 유틸리티 섹터 소외 흐름 추정",미국
신저가,NEW,XEL US Equity,Xcel Energy Inc.,Utilities,78.07,1.43,48.8,18.2,21.4,2.0,O,,"엑셀에너지(미 중서부 전력): 특별한 뉴스 없음, 금리 하락에 소폭 반등했으나 52주 신저",미국
신저가,OLD,TPL US Equity,Texas Pacific Land Corporation,Miscellaneous,340.65,-4.21,23.5,37.4,43.4,14.0,O,,,미국
신저가,OLD,DTM US Equity,"DT Midstream, Inc.",Industrial Services,131.44,-1.11,13.4,27.0,28.8,2.8,O,,,미국
신저가,OLD,TRP US Equity,TC Energy Corporation,Industrial Services,63.23,-1.05,63.2,23.5,26.9,3.7,O,,,미국
신저가,OLD,WSO/B US Equity,"Watsco, Inc.",Producer Manufacturing,316.24,-0.9,12.7,25.5,27.5,,O,O,,미국
신저가,OLD,ENB US Equity,Enbridge Inc,Industrial Services,51.28,-0.81,112.0,23.7,28.0,2.7,O,,"(전일) 엔브리지(캐나다 에너지 파이프라인): 개별 뉴스 없음, 에너지 섹터 약세(추정)",미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,178.0,-0.57,11.9,15.3,36.7,1.7,O,,,미국
신저가,OLD,SRE US Equity,DBA Sempra,Utilities,83.88,-0.56,54.8,16.1,24.3,1.7,O,,,미국
신저가,OLD,LNT US Equity,Alliant Energy Corporation,Utilities,69.37,-0.22,18.0,19.7,22.0,2.4,O,,,미국
신저가,OLD,DVA US Equity,DaVita Inc.,Health Services,183.77,1.72,11.7,11.5,15.5,,O,,"(전일) 다비타(신장투석 체인): 2분기 EPS 상회에도 가이던스 우려로 -17%, 신저가",미국
